Client_Name,Account_ID,Legal_Entity,Currency,Payment_Type,Paid_Amount,Payment_Date,Payment_Status,Pending_Amount,Comments,Source
Goldman Sachs,104786,CitiBank London,GBP,Deliver,2421,2020-05-02 ,Processing,2421,Payment is in progress,1
BNY Mellon,103917,CitiBank London,CAD,Receive,6512,2020-04-04 ,Rejected,6512,Payment Failed,1
BNY Mellon,104709,CitiBank Singapore,GBP,Deliver,9213,2020-03-15 ,Processing,9213,Payment is in progress,1
HSBC,103669,CitiBank London,INR,Receive,738,2020-05-28 ,Rejected,738,Payment Failed,1
BNY Mellon,101731,CitiBank Singapore,GBP,Deliver,2886,2020-04-25 ,Partially Paid,7357,Waiting for pending amount,1
DEUTSCHE BANK,102690,CitiBank Bengaluru,USD,Receive,9694,2020-02-25 ,Partially Paid,4208,Waiting for pending amount,1
BNY Mellon,102611,CitiBank Pune,INR,Deliver,240,2020-04-12 ,Fully paid,0,Transaction complete,1
BNP Paribas,105118,CitiBank Singapore,INR,Deliver,8302,2020-03-05 ,Processing,8302,Payment is in progress,1
Wells Fargo,103871,CitiBank HongKong,EUR,Receive,2122,2020-02-25 ,Processing,2122,Payment is in progress,1
J P Morgan,101284,CitiBank NewYork,USD,Deliver,394,2020-05-01 ,Fully paid,0,Transaction complete,1
BNP Paribas,104411,CitiBank London,EUR,Receive,2129,2020-04-13 ,Fully paid,0,Transaction complete,1
Goldman Sachs,102607,CitiBank Singapore,CAD,Receive,7213,2020-05-15 ,Partially Paid,6849,Waiting for pending amount,2
Goldman Sachs,101785,CitiBank Pune,EUR,Receive,1893,2020-04-08 ,Partially Paid,2603,Waiting for pending amount,2
BNP Paribas,102204,CitiBank Pune,CAD,Receive,4473,2020-04-06 ,Rejected,4473,Payment Failed,2
HSBC,103250,CitiBank Pune,INR,Deliver,3797,2020-04-14 ,Partially Paid,4915,Waiting for pending amount,2
J P Morgan,103639,CitiBank Bengaluru,USD,Receive,3660,2020-04-18 ,Processing,3660,Payment is in progress,2
Morgan Stanley,102720,CitiBank Pune,CAD,Receive,9867,2020-02-22 ,Partially Paid,8294,Waiting for pending amount,2
HSBC,102696,CitiBank Pune,EUR,Receive,6326,2020-05-04 ,Rejected,6326,Payment Failed,2
J P Morgan,101457,CitiBank Pune,CAD,Receive,4310,2020-05-06 ,Rejected,4310,Payment Failed,2
Morgan Stanley,103933,CitiBank London,CAD,Receive,4420,2020-03-11 ,Rejected,4420,Payment Failed,2
BNY Mellon,103575,CitiBank Pune,CAD,Deliver,3882,2020-05-23 ,Partially Paid,8796,Waiting for pending amount,2
J P Morgan,101350,CitiBank Bengaluru,INR,Receive,3512,2020-04-12 ,Partially Paid,8568,Waiting for pending amount,2
J P Morgan,102850,CitiBank London,EUR,Receive,333,2020-03-03 ,Processing,333,Payment is in progress,2
BNP Paribas,102387,CitiBank Bengaluru,INR,Deliver,6093,2020-02-26 ,Processing,6093,Payment is in progress,2
J P Morgan,104953,CitiBank HongKong,USD,Deliver,6038,2020-05-18 ,Partially Paid,7007,Waiting for pending amount,2
Goldman Sachs,101536,CitiBank Bengaluru,INR,Receive,4072,2020-06-07 ,Fully paid,0,Transaction complete,2
BNP Paribas,102412,CitiBank Singapore,GBP,Deliver,4201,2020-06-08 ,Processing,4201,Payment is in progress,2
J P Morgan,102814,CitiBank Singapore,GBP,Receive,8136,2020-03-06 ,Processing,8136,Payment is in progress,2
Morgan Stanley,103500,CitiBank Singapore,EUR,Deliver,9652,2020-02-27 ,Partially Paid,5453,Waiting for pending amount,2
Morgan Stanley,103370,CitiBank NewYork,CAD,Deliver,9306,2020-05-17 ,Processing,9306,Payment is in progress,2
DEUTSCHE BANK,102613,CitiBank London,INR,Deliver,6417,2020-05-25 ,Processing,6417,Payment is in progress,2
Goldman Sachs,104727,CitiBank Bengaluru,GBP,Receive,1627,2020-03-31 ,Rejected,1627,Payment Failed,2
J P Morgan,103422,CitiBank Singapore,CAD,Deliver,5547,2020-06-01 ,Rejected,5547,Payment Failed,2
HSBC,103866,CitiBank Singapore,INR,Receive,8961,2020-04-01 ,Rejected,8961,Payment Failed,2
BNY Mellon,102810,CitiBank Pune,CAD,Receive,8414,2020-02-27 ,Fully paid,0,Transaction complete,2
DEUTSCHE BANK,102022,CitiBank Pune,GBP,Deliver,3274,2020-05-02 ,Fully paid,0,Transaction complete,2
J P Morgan,102034,CitiBank Pune,USD,Deliver,3720,2020-04-07 ,Rejected,3720,Payment Failed,2
BNP Paribas,104099,CitiBank NewYork,EUR,Deliver,4702,2020-05-10 ,Partially Paid,9489,Waiting for pending amount,2
Goldman Sachs,102606,CitiBank HongKong,INR,Receive,4639,2020-04-27 ,Fully paid,0,Transaction complete,2
Morgan Stanley,101344,CitiBank Pune,CAD,Deliver,6347,2020-03-24 ,Fully paid,0,Transaction complete,2
Wells Fargo,104479,CitiBank Singapore,GBP,Deliver,4708,2020-04-07 ,Processing,4708,Payment is in progress,2
DEUTSCHE BANK,102921,CitiBank London,INR,Deliver,7752,2020-05-26 ,Partially Paid,6433,Waiting for pending amount,2
Morgan Stanley,102741,CitiBank Singapore,CAD,Receive,6676,2020-04-29 ,Processing,6676,Payment is in progress,2
HSBC,105052,CitiBank London,INR,Receive,3449,2020-05-17 ,Fully paid,0,Transaction complete,2
J P Morgan,103770,CitiBank NewYork,EUR,Deliver,8373,2020-03-04 ,Processing,8373,Payment is in progress,2
HSBC,103235,CitiBank Singapore,CAD,Deliver,3426,2020-04-07 ,Partially Paid,224,Waiting for pending amount,2
J P Morgan,104054,CitiBank Pune,USD,Deliver,5356,2020-05-20 ,Processing,5356,Payment is in progress,2
BNP Paribas,104799,CitiBank Singapore,EUR,Receive,2083,2020-03-30 ,Processing,2083,Payment is in progress,2
DEUTSCHE BANK,101364,CitiBank Singapore,GBP,Receive,5154,2020-04-17 ,Fully paid,0,Transaction complete,2
J P Morgan,104841,CitiBank Pune,USD,Receive,5836,2020-03-16 ,Partially Paid,9582,Waiting for pending amount,2
Wells Fargo,104895,CitiBank HongKong,USD,Receive,3399,2020-04-11 ,Partially Paid,4639,Waiting for pending amount,2
Wells Fargo,103497,CitiBank HongKong,INR,Receive,9640,2020-06-06 ,Processing,9640,Payment is in progress,2
Goldman Sachs,101789,CitiBank HongKong,USD,Receive,2471,2020-05-04 ,Processing,2471,Payment is in progress,2
J P Morgan,105055,CitiBank Singapore,GBP,Deliver,287,2020-03-04 ,Processing,287,Payment is in progress,2
HSBC,101713,CitiBank London,INR,Deliver,4192,2020-05-18 ,Fully paid,0,Transaction complete,2
DEUTSCHE BANK,103935,CitiBank London,USD,Deliver,6598,2020-03-02 ,Rejected,6598,Payment Failed,2
J P Morgan,101110,CitiBank London,CAD,Deliver,3711,2020-05-29 ,Rejected,3711,Payment Failed,2
BNP Paribas,102721,CitiBank HongKong,GBP,Receive,885,2020-04-26 ,Rejected,885,Payment Failed,2
DEUTSCHE BANK,104398,CitiBank Bengaluru,EUR,Receive,8418,2020-05-17 ,Partially Paid,9618,Waiting for pending amount,2
HSBC,101508,CitiBank Bengaluru,GBP,Deliver,6647,2020-02-29 ,Processing,6647,Payment is in progress,2
Goldman Sachs,103901,CitiBank Pune,CAD,Receive,3187,2020-05-26 ,Processing,3187,Payment is in progress,2
HSBC,104758,CitiBank Singapore,USD,Deliver,4011,2020-03-27 ,Partially Paid,5313,Waiting for pending amount,2
DEUTSCHE BANK,101417,CitiBank London,USD,Deliver,4886,2020-05-18 ,Partially Paid,775,Waiting for pending amount,2
HSBC,101229,CitiBank Pune,USD,Receive,4949,2020-03-23 ,Partially Paid,6082,Waiting for pending amount,2
HSBC,101456,CitiBank Singapore,USD,Deliver,4716,2020-04-11 ,Processing,4716,Payment is in progress,2
J P Morgan,103816,CitiBank London,INR,Deliver,9004,2020-05-31 ,Fully paid,0,Transaction complete,2
J P Morgan,104113,CitiBank NewYork,EUR,Receive,3177,2020-05-19 ,Rejected,3177,Payment Failed,2
BNY Mellon,104238,CitiBank Bengaluru,USD,Deliver,2310,2020-05-17 ,Processing,2310,Payment is in progress,2
BNY Mellon,101203,CitiBank NewYork,INR,Deliver,6378,2020-02-24 ,Rejected,6378,Payment Failed,2
Wells Fargo,102578,CitiBank NewYork,GBP,Receive,2102,2020-04-27 ,Partially Paid,2424,Waiting for pending amount,2
BNP Paribas,101983,CitiBank Bengaluru,CAD,Deliver,6205,2020-05-28 ,Partially Paid,208,Waiting for pending amount,2
J P Morgan,102524,CitiBank Bengaluru,USD,Deliver,3476,2020-05-31 ,Partially Paid,1729,Waiting for pending amount,2
BNY Mellon,102530,CitiBank Singapore,EUR,Deliver,1992,2020-06-07 ,Fully paid,0,Transaction complete,2
BNY Mellon,104921,CitiBank Bengaluru,USD,Deliver,3210,2020-04-21 ,Rejected,3210,Payment Failed,2
DEUTSCHE BANK,101115,CitiBank London,CAD,Receive,9510,2020-03-20 ,Partially Paid,3850,Waiting for pending amount,2
Goldman Sachs,103652,CitiBank Singapore,INR,Receive,8084,2020-04-22 ,Processing,8084,Payment is in progress,2
DEUTSCHE BANK,102049,CitiBank NewYork,CAD,Deliver,8490,2020-02-24 ,Rejected,8490,Payment Failed,2
J P Morgan,104830,CitiBank Pune,GBP,Deliver,7097,2020-06-08 ,Processing,7097,Payment is in progress,2
Wells Fargo,102665,CitiBank Bengaluru,EUR,Receive,3039,2020-03-03 ,Partially Paid,3064,Waiting for pending amount,2
HSBC,104542,CitiBank HongKong,CAD,Deliver,8651,2020-05-28 ,Rejected,8651,Payment Failed,2
Morgan Stanley,101506,CitiBank London,EUR,Deliver,1412,2020-04-17 ,Partially Paid,415,Waiting for pending amount,2
J P Morgan,101194,CitiBank Bengaluru,INR,Deliver,199,2020-05-09 ,Fully paid,0,Transaction complete,2
DEUTSCHE BANK,101384,CitiBank London,GBP,Deliver,2013,2020-04-10 ,Processing,2013,Payment is in progress,2
J P Morgan,102166,CitiBank Pune,GBP,Receive,8090,2020-03-19 ,Partially Paid,5741,Waiting for pending amount,2
Morgan Stanley,104305,CitiBank London,USD,Deliver,2257,2020-05-03 ,Fully paid,0,Transaction complete,2
HSBC,102934,CitiBank Pune,EUR,Deliver,6103,2020-03-11 ,Processing,6103,Payment is in progress,2
Wells Fargo,101420,CitiBank HongKong,GBP,Deliver,5810,2020-06-01 ,Processing,5810,Payment is in progress,2
Morgan Stanley,103035,CitiBank Bengaluru,EUR,Receive,5642,2020-06-07 ,Fully paid,0,Transaction complete,2
DEUTSCHE BANK,103809,CitiBank Bengaluru,INR,Deliver,8198,2020-05-28 ,Partially Paid,5816,Waiting for pending amount,2
Morgan Stanley,105088,CitiBank NewYork,CAD,Receive,3710,2020-04-01 ,Processing,3710,Payment is in progress,2
Wells Fargo,101626,CitiBank Singapore,INR,Receive,3379,2020-05-16 ,Fully paid,0,Transaction complete,2
DEUTSCHE BANK,103227,CitiBank London,EUR,Deliver,2551,2020-06-08 ,Partially Paid,7749,Waiting for pending amount,2
J P Morgan,103572,CitiBank Singapore,CAD,Deliver,6621,2020-05-30 ,Partially Paid,3359,Waiting for pending amount,2
HSBC,103241,CitiBank NewYork,INR,Receive,3010,2020-05-09 ,Processing,3010,Payment is in progress,2
HSBC,101354,CitiBank Bengaluru,USD,Deliver,4227,2020-03-25 ,Fully paid,0,Transaction complete,2
BNY Mellon,102041,CitiBank Pune,EUR,Receive,2200,2020-03-23 ,Processing,2200,Payment is in progress,2
Goldman Sachs,103801,CitiBank Singapore,USD,Receive,2618,2020-02-29 ,Partially Paid,1981,Waiting for pending amount,2
BNP Paribas,101856,CitiBank Singapore,CAD,Deliver,4209,2020-03-27 ,Fully paid,0,Transaction complete,2
Wells Fargo,102703,CitiBank Pune,USD,Receive,6678,2020-02-29 ,Partially Paid,3593,Waiting for pending amount,2
Morgan Stanley,102156,CitiBank HongKong,INR,Receive,666,2020-03-20 ,Partially Paid,5345,Waiting for pending amount,2
HSBC,102145,CitiBank London,GBP,Receive,1402,2020-05-11 ,Partially Paid,4468,Waiting for pending amount,2
HSBC,104493,CitiBank Bengaluru,EUR,Deliver,2658,2020-03-01 ,Partially Paid,1551,Waiting for pending amount,2
HSBC,104541,CitiBank Pune,CAD,Deliver,3714,2020-05-13 ,Rejected,3714,Payment Failed,2
BNY Mellon,103574,CitiBank Singapore,GBP,Deliver,5920,2020-05-12 ,Processing,5920,Payment is in progress,2
J P Morgan,102459,CitiBank Bengaluru,USD,Receive,2586,2020-05-04 ,Fully paid,0,Transaction complete,2
DEUTSCHE BANK,101646,CitiBank London,EUR,Deliver,362,2020-03-27 ,Processing,362,Payment is in progress,3
HSBC,104421,CitiBank London,USD,Deliver,5707,2020-05-16 ,Fully paid,0,Transaction complete,3
J P Morgan,101621,CitiBank Bengaluru,CAD,Deliver,6764,2020-02-28 ,Partially Paid,7432,Waiting for pending amount,3
J P Morgan,105137,CitiBank Bengaluru,INR,Receive,435,2020-04-19 ,Fully paid,0,Transaction complete,3
Wells Fargo,101897,CitiBank HongKong,CAD,Receive,1818,2020-03-25 ,Partially Paid,6107,Waiting for pending amount,3
BNY Mellon,101806,CitiBank Singapore,GBP,Receive,1273,2020-04-04 ,Partially Paid,1120,Waiting for pending amount,3
BNY Mellon,102740,CitiBank Bengaluru,EUR,Receive,8886,2020-03-09 ,Rejected,8886,Payment Failed,3
DEUTSCHE BANK,104872,CitiBank HongKong,CAD,Deliver,7097,2020-05-12 ,Fully paid,0,Transaction complete,3
Wells Fargo,102361,CitiBank Bengaluru,USD,Deliver,5567,2020-06-06 ,Processing,5567,Payment is in progress,3
DEUTSCHE BANK,103118,CitiBank Singapore,EUR,Deliver,5882,2020-04-17 ,Rejected,5882,Payment Failed,3
Morgan Stanley,101502,CitiBank Bengaluru,CAD,Receive,3358,2020-04-10 ,Rejected,3358,Payment Failed,3
J P Morgan,105075,CitiBank NewYork,EUR,Receive,6415,2020-03-16 ,Rejected,6415,Payment Failed,3
BNY Mellon,102967,CitiBank Pune,INR,Deliver,5477,2020-04-10 ,Rejected,5477,Payment Failed,3
Morgan Stanley,103137,CitiBank HongKong,CAD,Receive,3591,2020-02-23 ,Processing,3591,Payment is in progress,3
Wells Fargo,101396,CitiBank Singapore,GBP,Receive,2,2020-04-12 ,Processing,2,Payment is in progress,3
BNP Paribas,104969,CitiBank Singapore,CAD,Deliver,3961,2020-04-19 ,Fully paid,0,Transaction complete,3
HSBC,101239,CitiBank London,CAD,Deliver,7033,2020-04-19 ,Fully paid,0,Transaction complete,3
J P Morgan,103753,CitiBank NewYork,CAD,Deliver,5774,2020-02-23 ,Processing,5774,Payment is in progress,3
HSBC,103467,CitiBank Bengaluru,CAD,Deliver,9628,2020-03-26 ,Processing,9628,Payment is in progress,3
DEUTSCHE BANK,102629,CitiBank London,GBP,Deliver,4638,2020-04-12 ,Processing,4638,Payment is in progress,3
BNY Mellon,103710,CitiBank Pune,INR,Receive,7657,2020-05-30 ,Rejected,7657,Payment Failed,3
Wells Fargo,105053,CitiBank London,USD,Deliver,6811,2020-02-24 ,Partially Paid,7775,Waiting for pending amount,3
